fullDisplayName,category,assessment,columnHeader,description
NIH Toolbox Oral Reading Recognition Test: Unadjusted Scale Score,Cognition,Language/Reading Decoding (Oral Reading Recognition),ReadEng_Unadj,"The Reading Test is a CAT format measure of reading decoding skill and of crystallized abilities, those abilities that are generally more dependent upon past learning experiences and consistent across the life span for ages 7-85. The participant is asked to read and pronounce letters and words as accurately as possible. Higher scores indicate better reading ability. Unadjusted Scale Score: Participant score is normed to those in the entire NIH Toolbox Normative Sample (18 and older), regardless of age or any other variable, where a score of 100 indicates performance that was at the national average and a score of 115 or 85, indicates performance 1 SD above or below the national average."
NIH Toolbox Oral Reading Recognition Test: Age-Adjusted Scale Score,Cognition,Language/Reading Decoding (Oral Reading Recognition),ReadEng_AgeAdj,"The Reading Test is a CAT format measure of reading decoding skill and of crystallized abilities, those abilities that are generally more dependent upon past learning experiences and consistent across the life span for ages 7-85. The participant is asked to read and pronounce letters and words as accurately as possible. Higher scores indicate better reading ability. Age-adjusted Scale Score: Participant score is normed using the age appropriate band of Toolbox Norming Sample (bands of ages 18-29, or 30-35), where a score of 100 indicates performance that was at the national average and a score of 115 or 85, indicates performance 1 SD above or below the national average for participants age band. "
NIH Toolbox Picture Vocabulary Test: Unadjusted Scale Score,Cognition,Language/Vocabulary Comprehension (Picture Vocabulary),PicVocab_Unadj,"The Picture Vocabulary Test is a CAT format measure of general vocabulary knowledge for ages 3-85 and is considered to be a strong measure of crystallized abilities (those abilities that are more dependent upon past learning experiences and are consistent across the lifespan). The participant is presented with an audio recording of a word and four photographic images on the computer screen and is asked to select the picture that most closely matches the meaning of the word. Higher scores indicate higher vocabulary ability. Unadjusted Scale Score: Participant score is normed to those in the entire NIH Toolbox Normative Sample (18 and older), regardless of age or any other variable, where a score of 100 indicates performance that was at the national average and a score of 115 or 85, indicates performance 1 SD above or below the national average. "
NIH Toolbox Picture Vocabulary Test: Age-Adjusted Scale Score,Cognition,Language/Vocabulary Comprehension (Picture Vocabulary),PicVocab_AgeAdj,"The Picture Vocabulary Test is a CAT format measure of general vocabulary knowledge for ages 3-85 and is considered to be a strong measure of crystallized abilities (those abilities that are more dependent upon past learning experiences and are consistent across the lifespan). The participant is presented with an audio recording of a word and four photographic images on the computer screen and is asked to select the picture that most closely matches the meaning of the word. Higher scores indicate higher vocabulary ability. Age-adjusted Scale Score: Participant score is normed using the age appropriate band of Toolbox Norming Sample (bands of ages 18-29, or 30-35), where a score of 100 indicates performance that was at the national average and a score of 115 or 85, indicates performance 1 SD above or below the national average for participants age band. "
NIH Toolbox Pattern Comparison Processing Speed Test: Unadjusted Scale Score,Cognition,Processing Speed (Pattern Completion Processing Speed),ProcSpeed_Unadj,"The Pattern Comparison Processing Test is a measure of speed of processing, which is considered a 'fluid ability' because it steadily improves (time to complete task decreases) throughout childhood and adolescence, then begins to decline in adulthood. This test for ages 7-85 asks participants to discern whether two side-by-side pictures are the same or not. The items are designed to be simple to most purely measure processing speed. Higher scores indicate faster speed of processing. Unadjusted Scale Score: Participant score is normed to those in the entire NIH Toolbox Normative Sample (18 and older), regardless of age or any other variable, where a score of 100 indicates performance that was at the national average and a score of 115 or 85, indicates performance 1 SD above or below the national average. "
NIH Toolbox Pattern Comparison Processing Speed Test: Age-Adjusted Scale Score,Cognition,Processing Speed (Pattern Completion Processing Speed),ProcSpeed_AgeAdj,"The Pattern Comparison Processing Test is a measure of speed of processing, which is considered a 'fluid ability' because it steadily improves (time to complete task decreases) throughout childhood and adolescence, then begins to decline in adulthood. This test for ages 7-85 asks participants to discern whether two side-by-side pictures are the same or not. The items are designed to be simple to most purely measure processing speed. Age-Adjusted Scale Score: Participant score is normed using the age appropriate band of Toolbox Norming Sample (bands of ages 18-29, or 30-35), where a score of 100 indicates performance that was at the national average and a score of 115 or 85, indicates performance 1 SD above or below the national average for participants age band. "
Delay Discounting: Area Under the Curve for Discounting of $200 (DDisc_AUC_200),Cognition,Self-regulation/Impulsivity (Delay Discounting),DDisc_AUC_200,"Delay Discounting: Area Under the Curve (AUC) for Discounting of $200. A summary measure of Delay Discounting, the AUC discounting measure provides an index of how steeply the participant discounts a delayed reward of $200 (Myerson et al. 2001). Delay discounting describes the undervaluing of rewards that are delayed in time. It is illustrated by the fact that humans (and other animals) will often choose a smaller immediate reward over an objectively larger, but delayed reward. "
"Delay Discounting: Area Under the Curve for Discounting of $40,000 (DDisc_AUC_40K)",Cognition,Self-regulation/Impulsivity (Delay Discounting),DDisc_AUC_40K,"Delay Discounting: Area Under the Curve (AUC) for Discounting of $40,000. A summary measure of Delay Discounting, the AUC discounting measure provides an index of how steeply the participant discounts a delayed reward of $40,000 (Myerson et al. 2001). Delay discounting describes the undervaluing of rewards that are delayed in time. It is illustrated by the fact that humans (and other animals) will often choose a smaller immediate reward over an objectively larger, but delayed reward."
Short Penn Continuous Performance Test: True Positives = Sum of CPN_TP and CPL_TP (SCPT_TP),Cognition,Sustained Attention (Short Penn Continuous Performance Test),SCPT_TP,Short Penn CPT True Positives = Sum of CPN_TP and CPL_TP
Short Penn Continuous Performance Test: True Negatives = Sum of CPN_TN and CPL_TPN (SCPT_TN),Cognition,Sustained Attention (Short Penn Continuous Performance Test),SCPT_TN,Short Penn CPT True Negatives = Sum of CPN_TN and CPL_TPN
Short Penn Continuous Performance Test: False Positives = Sum of CPN_FP and CPL_FP (SCPT_FP),Cognition,Sustained Attention (Short Penn Continuous Performance Test),SCPT_FP,Short Penn CPT False Positives = Sum of CPN_FP and CPL_FP
Short Penn Continuous Performance Test: False Negatives = Sum of CPN_FN and CPL_FN (SCPT_FN),Cognition,Sustained Attention (Short Penn Continuous Performance Test),SCPT_FN,Short Penn CPT False Negatives = Sum of CPN_FN and CPL_FN
Short Penn Continuous Performance Test: Median Response Time for True Positive Responses (SCPT_TPRT),Cognition,Sustained Attention (Short Penn Continuous Performance Test),SCPT_TPRT,Short Penn CPT Median Response Time for True Positive Responses
Short Penn Continuous Performance Test: Sensitivity = SCPT_TP/(SCPT_TP + SCPT_FN) (SCPT_SEN),Cognition,Sustained Attention (Short Penn Continuous Performance Test),SCPT_SEN,Short Penn CPT Sensitivity = SCPT_TP/(SCPT_TP + SCPT_FN)
Short Penn Continuous Performance Test: Specificity = SCPT_TN/(SCPT_TN + SCPT_FP) (SCPT_SPEC),Cognition,Sustained Attention (Short Penn Continuous Performance Test),SCPT_SPEC,Short Penn CPT Specificity = SCPT_TN/(SCPT_TN + SCPT_FP)
Short Penn Continuous Performance Test: Longest Run of Non-Responses (SCPT_LRNR),Cognition,Sustained Attention (Short Penn Continuous Performance Test),SCPT_LRNR,Short Penn CPT Longest Run of Non-Responses)
Penn Word Memory Test: Total Number of Correct Responses (IWRD_TOT),Cognition,Verbal Episodic Memory (Penn Word Memory Test),IWRD_TOT,Penn Word Memory:  Total Number of Correct Responses
NIH Toolbox List Sorting Working Memory Test: Unadjusted Scale Score,Cognition,Working Memory (List Sorting),ListSort_Unadj,"This task assesses working memory and requires the participant to sequence different visually- and orally-presented stimuli (foods and animals) into size order. List Sorting is a measure of working memory, tapping both information processing and storage. It is considered a “fluid ability” measure, with performance tending to peak in early adulthood and then declining across the life span. Higher scores on each of these indicate higher levels of working memory. Unadjusted Scale Score: Participant score is normed to those in the entire NIH Toolbox Normative Sample (18 and older), regardless of age or any other variable, where a score of 100 indicates performance that was at the national average and a score of 115 or 85, indicates performance 1 SD above or below the national average."
NIH Toolbox List Sorting Working Memory Test: Age-Adjusted Scale Score,Cognition,Working Memory (List Sorting),ListSort_AgeAdj,"This task assesses working memory and requires the participant to sequence different visually- and orally-presented stimuli (foods and animals) into size order. List Sorting is a measure of working memory, tapping both information processing and storage. It is considered a “fluid ability” measure, with performance tending to peak in early adulthood and then declining across the life span. Higher scores on each of these indicate higher levels of working memory. Age-adjusted Scale Score: Participant score is normed using the age appropriate band of Toolbox Norming Sample (bands of ages 18-29, or 30-35), where a score of 100 indicates performance that was at the national average and a score of 115 or 85, indicates performance 1 SD above or below the national average for participants age band."
NIH Toolbox Cognition Fluid Composite: Unadjusted Scale Score,Cognition,Cognition Fluid Composite,CogFluidComp_Unadj,"The Fluid Cognition Composite score is derived by averaging the normalized scores of each of the Toolbox tests that are fluid ability measures (Flanker, Dimensional Change Card Sort, Picture Sequence Memory, List Sorting and Pattern Comparison), then deriving scale scores based on this new distribution. One can interpret the Fluid Cognition Composite as a more global assessment of individual and group fluid cognition functioning. Higher scores indicate higher levels of functioning. Unadjusted Scale Score: Participant score is normed to those in the entire NIH Toolbox Normative Sample (18 and older), regardless of age or any other variable, where a score of 100 indicates performance that was at the national average and a score of 115 or 85, indicates performance 1 SD above or below the national average."
NIH Toolbox Cognition Fluid Composite: Age Adjusted Scale Score,Cognition,Cognition Fluid Composite,CogFluidComp_AgeAdj,"The Fluid Cognition Composite score is derived by averaging the normalized scores of each of the Toolbox tests that are fluid ability measures (Flanker, Dimensional Change Card Sort, Picture Sequence Memory, List Sorting and Pattern Comparison), then deriving scale scores based on this new distribution. One can interpret the Fluid Cognition Composite as a more global assessment of individual and group fluid cognition functioning. Higher scores indicate higher levels of functioning. Age-adjusted Scale Score: Participant score is normed using the age appropriate band of Toolbox Norming Sample (bands of ages 18-29, or 30-35), where a score of 100 indicates performance that was at the national average and a score of 115 or 85, indicates performance 1 SD above or below the national average for participants age band."
NIH Toolbox Cognition Early Childhood Composite: Unadjusted Scale Score,Cognition,Cognition Early Childhood Composite,CogEarlyComp_Unadj,"The Early Childhood Composite score is derived by averaging the normalized scores of each of the four Toolbox cognition measures that comprise the Early Childhood Battery (Picture Vocabulary, Flanker, DCCS and Picture Sequence Memory), then deriving scale scores based on this new distribution. The Early Childhood Composite Score can be interpreted much like the Cognitive Function Composite and it provides a highly reliable overall snapshot of general cognitive functioning. Higher scores indicate higher levels of functioning. Unadjusted Scale Score: Participant score is normed to those in the entire NIH Toolbox Normative Sample (18 and older), regardless of age or any other variable, where a score of 100 indicates performance that was at the national average and a score of 115 or 85, indicates performance 1 SD above or below the national average"
NIH Toolbox Cognition Early Childhood Composite: Age Adjusted Scale Score,Cognition,Cognition Early Childhood Composite,CogEarlyComp_AgeAdj,"The Early Childhood Composite score is derived by averaging the normalized scores of each of the four Toolbox cognition measures that comprise the Early Childhood Battery (Picture Vocabulary, Flanker, DCCS and Picture Sequence Memory), then deriving scale scores based on this new distribution. The Early Childhood Composite Score can be interpreted much like the Cognitive Function Composite and it provides a highly reliable overall snapshot of general cognitive functioning. Higher scores indicate higher levels of functioning. Age-adjusted Scale Score: Participant score is normed using the age appropriate band of Toolbox Norming Sample (bands of ages 18-29, or 30-35), where a score of 100 indicates performance that was at the national average and a score of 115 or 85, indicates performance 1 SD above or below the national average for participants age band."
NIH Toolbox Cognition Total Composite Score: Unadjusted Scale Score,Cognition,Cognition Total Composite Score,CogTotalComp_Unadj,"The Cognitive Function Composite score is derived by averaging the normalized scores of each of the Fluid and Crystallized cognition measures, then deriving scale scores based on this new distribution. Higher scores indicate higher levels of cognitive functioning. Unadjusted Scale Score: Participant score is normed to those in the entire NIH Toolbox Normative Sample (18 and older), regardless of age or any other variable, where a score of 100 indicates performance that was at the national average and a score of 115 or 85, indicates performance 1 SD above or below the national average."
NIH Toolbox Cognition Total Composite Score: Age Adjusted Scale Score,Cognition,Cognition Total Composite Score,CogTotalComp_AgeAdj,"The Cognitive Function Composite score is derived by averaging the normalized scores of each of the Fluid and Crystallized cognition measures, then deriving scale scores based on this new distribution. Higher scores indicate higher levels of cognitive functioning. Age-adjusted Scale Score: Participant score is normed using the age appropriate band of Toolbox Norming Sample (bands of ages 18-29, or 30-35), where a score of 100 indicates performance that was at the national average and a score of 115 or 85, indicates performance 1 SD above or below the national average for participants age band."
NIH Toolbox Cognition Crystallized Composite: Unadjusted Scale Score,Cognition,Cognition Crystallized Composite,CogCrystalComp_Unadj,"The Crystallized Cognition Composite score is derived by averaging the normalized scores of each of the Toolbox tests that are crystallized measures (Picture Vocabulary and Reading Tests), then deriving scale scores based on this new distribution. One can interpret the Crystallized Cognition Composite as a more global assessment of individual and group verbal reasoning. Higher scores indicate higher levels of functioning. Unadjusted Scale Score: Participant score is normed to those in the entire NIH Toolbox Normative Sample (18 and older), regardless of age or any other variable, where a score of 100 indicates performance that was at the national average and a score of 115 or 85, indicates performance 1 SD above or below the national average."
NIH Toolbox Cognition Crystallized Composite: Age Adjusted Scale Score,Cognition,Cognition Crystallized Composite,CogCrystalComp_AgeAdj,"The Crystallized Cognition Composite score is derived by averaging the normalized scores of each of the Toolbox tests that are crystallized measures (Picture Vocabulary and Reading Tests), then deriving scale scores based on this new distribution. One can interpret the Crystallized Cognition Composite as a more global assessment of individual and group verbal reasoning. Higher scores indicate higher levels of functioning. Age-adjusted Scale Score: Participant score is normed using the age appropriate band of Toolbox Norming Sample (bands of ages 18-29, or 30-35), where a score of 100 indicates performance that was at the national average and a score of 115 or 85, indicates performance 1 SD above or below the national average for participants age band."
Penn Emotion Recognition Test: Number of Correct Responses (ER40_CR),Emotion,Emotion Recognition (Penn Emotion Recognition Test),ER40_CR,Penn Emotion Recognition: Number of Correct Responses
Penn Emotion Recognition Test: Number of Correct Anger Identifications (ER40ANG),Emotion,Emotion Recognition (Penn Emotion Recognition Test),ER40ANG,Penn Emotion Recognition: Number of Correct Anger Identifications
Penn Emotion Recognition Test: Number of Correct Fear Identifications (ER40FEAR),Emotion,Emotion Recognition (Penn Emotion Recognition Test),ER40FEAR,Penn Emotion Recognition: Number of Correct Fear Identifications
Penn Emotion Recognition Test: Number of Correct Happy Identifications (ER40HAP),Emotion,Emotion Recognition (Penn Emotion Recognition Test),ER40HAP,Penn Emotion Recognition: Number of Correct Happy Identifications
Penn Emotion Recognition Test: Number of Correct Neutral Identifications (ER40NOE),Emotion,Emotion Recognition (Penn Emotion Recognition Test),ER40NOE,Penn Emotion Recognition: Number of Correct Neutral Identifications
Penn Emotion Recognition Test: Number of Correct Sad Identifications (ER40SAD),Emotion,Emotion Recognition (Penn Emotion Recognition Test),ER40SAD,Penn Emotion Recognition: Number of Correct Sad Identifications
NIH Toolbox Anger-Affect Survey: Unadjusted Scale Score,Emotion,"Negative Affect (Sadness, Fear, Anger)",AngAffect_Unadj,"This self-report measure assesses anger as an emotion for ages 18-85, using a CAT format. The Unadjusted Scale Score has a Mean of 50, SD of 10. Higher scores are indicative of more feelings of anger (irritability, frustration). Scores 1 SD or more below the mean (T ≤ 40) suggest low levels of angry feelings and scores 1 SD or more above the mean (T ≥ 60) suggest high levels of angry feelings.  "
NIH Toolbox Anger-Hostility Survey: Unadjusted Scale Score,Emotion,"Negative Affect (Sadness, Fear, Anger)",AngHostil_Unadj,"This self-report measure assesses attitudes of hostility and cynicism. The Unadjusted Scale Score has a Mean of 50, SD of 10. Higher scores are indicative of more hostility. Scores 1 SD or more below the mean (T ≤ 40) suggest low levels of hostility and scores 1 SD or more above the mean (T ≥ 60) suggest high levels of hostility."
NIH Toolbox Anger-Physical Aggression Survey: Unadjusted Scale Score,Emotion,"Negative Affect (Sadness, Fear, Anger)",AngAggr_Unadj,"This self-report measure assesses aggression as a behavioral component. The Unadjusted Scale Score has a Mean of 50, SD of 10. Higher scores are indicative of more reported physical aggression. Scores 1 SD or more below the mean (T ≤ 40) suggest low levels of physical aggression and scores 1 SD or more above the mean (T ≥ 60) suggest high levels of physical aggression."
NIH Toolbox Fear-Affect Survey: Unadjusted Scale Score,Emotion,"Negative Affect (Sadness, Fear, Anger)",FearAffect_Unadj,"This self-report measure assesses fear and anxious misery for ages 18-85, using a CAT format. The Unadjusted Scale Score has a Mean of 50, SD of 10. Higher scores are indicative of more feelings of fear (fearfulness, panic). Scores 1 SD or more below the mean (T ≤ 40) suggest low levels of fearful feelings and scores 1 SD or more above the mean (T ≥ 60) suggest high levels of fearful feelings.  "
NIH Toolbox Fear-Somatic Arousal Survey: Unadjusted Scale Score,Emotion,"Negative Affect (Sadness, Fear, Anger)",FearSomat_Unadj,"This self-report measure assesses somatic symptoms of anxiety that reflect autonomic arousal for ages 18-85, using a 6-item fixed-length form. The Unadjusted Scale Score has a Mean of 50, SD of 10. Higher scores are indicative of more somatic arousal. Scores 1 SD or more below the mean (T ≤ 40) suggest low levels of somatic arousal and scores 1 SD or more above the mean (T ≥ 60) suggest high levels of somatic arousal."
NIH Toolbox Sadness Survey: Unadjusted Scale Score,Emotion,"Negative Affect (Sadness, Fear, Anger)",Sadness_Unadj,"This self-report measure assesses sadness for ages 18-85 using a CAT format. The Unadjusted Scale Score has a Mean of 50, SD of 10. Higher scores are indicative of more sadness. Scores 1 SD or more below the mean (T ≤ 40) suggest low levels of sadness and scores 1 SD or more above the mean (T ≥ 60) suggest high levels of sadness."
NIH Toolbox General Life Satisfaction Survey: Unadjusted Scale Score,Emotion,"Psychological Well-being (Positive Affect, Life Satisfaction, Meaning and Purpose)",LifeSatisf_Unadj,"This self-report measure assesses global feelings and attitudes about one's life using a CAT format. The Unadjusted Scale Score has a Mean of 50, SD of 10. Higher scores are indicative of more general life satisfaction. Scores 1 SD or more below the mean (T ≤ 40) suggest low levels of general life satisfaction and scores 1 SD or more above the mean (T ≥ 60) suggest high levels of general life satisfaction."
NIH Toolbox Meaning and Purpose Survey: Unadjusted Scale Score,Emotion,"Psychological Well-being (Positive Affect, Life Satisfaction, Meaning and Purpose)",MeanPurp_Unadj,"This self-report measure for adults (ages 18 and above) is a CAT that accesses the extent to which people feel their life matters or makes sense. The Unadjusted Scale Score has a Mean of 50, SD of 10. Higher scores indicate more self-reported meaning and purpose. Scores 1 SD or more below the mean (T ≤ 40) suggest low levels of meaning and purpose and scores 1 SD or more above the mean (T ≥ 60) suggest high levels of meaning and purpose."
NIH Toolbox Positive Affect Survey: Unadjusted Scale Score,Emotion,"Psychological Well-being (Positive Affect, Life Satisfaction, Meaning and Purpose)",PosAffect_Unadj,"This self-report measure assesses both activated (i.e., happiness, joy) as well as unactivated (i.e., serenity, peace) aspects of positive affect in CAT form for ages 18-85. The Unadjusted Scale Score has a Mean of 50, SD of 10. Higher scores are indicative of more positive affect. Scores 1 SD or more below the mean (T ≤ 40) suggest low levels of positive affect and scores 1 SD or more above the mean (T ≥ 60) suggest high levels of positive affect."
NIH Toolbox Friendship Survey: Unadjusted Scale Score,Emotion,"Social Relationships (Social Support, Companionship, Social Distress, Positive Social Development)",Friendship_Unadj,"This self-report measure assesses perceptions of friendship, using an 8-item fixed-length form for ages 18-85. The Unadjusted Scale Score has a Mean of 50, SD of 10. Higher scores are indicative of a greater perceived availability of companions with whom to interact or affiliate. Scores 1 SD or more below the mean (T ≤ 40) suggest low levels of friendship and scores 1 SD or more above the mean (T ≥ 60) suggest high levels of friendship. "
NIH Toolbox Loneliness Survey: Unadjusted Scale Score,Emotion,"Social Relationships (Social Support, Companionship, Social Distress, Positive Social Development)",Loneliness_Unadj,"This self-report measure assesses perceptions of loneliness using a 5-item fixed-length form for ages 18-85. The Unadjusted Scale Score has a Mean of 50, SD of 10. Higher scores are indicative of more loneliness. Scores 1 SD or more below the mean (T ≤ 40) suggest low levels of loneliness and scores 1 SD or more above the mean (T ≥ 60) suggest high levels of loneliness."
NIH Toolbox Perceived Hostility Survey: Unadjusted Scale Score,Emotion,"Social Relationships (Social Support, Companionship, Social Distress, Positive Social Development)",PercHostil_Unadj,"This self-report measure assesses perceptions of hostility in daily social interactions (e.g., how often people argue with me, yell at me, or criticize me) using an 8-item fixed-length form for ages 18-85. The Unadjusted Scale Score has a Mean of 50, SD of 10. Higher scores are indicative of greater perceived hostility. Scores 1 SD or more below the mean (T ≤ 40) suggest low levels of perceived hostility and scores 1 SD or more above the mean (T ≥ 60) suggest high levels of perceived hostility. "
NIH Toolbox Perceived Rejection Survey: Unadjusted Scale Score,Emotion,"Social Relationships (Social Support, Companionship, Social Distress, Positive Social Development)",PercReject_Unadj,"This self-report measure assesses perceptions of rejection in daily social interactions (e.g., how often people don’t listen when I ask for help, or do not pay attention to me) using an 8-item fixed-length form for ages 18-85. The Unadjusted Scale Score has a Mean of 50, SD of 10. Higher scores are indicative of greater perceived rejection. Scores 1 SD or more below the mean (T ≤ 40) suggest low levels of perceived rejection and scores 1 SD or more above the mean (T ≥ 60) suggest high levels of perceived rejection. "
NIH Toolbox Emotional Support Survey: Unadjusted Scale Score,Emotion,"Social Relationships (Social Support, Companionship, Social Distress, Positive Social Development)",EmotSupp_Unadj,"This self-report measure assesses emotional support (refers to the perception that people in one’s social network are available to listen to one’s problems with empathy, caring and understanding) through an 8-item fixed-length form for ages 18-85. The Unadjusted Scale Score has a Mean of 50, SD of 10. Higher scores are indicative of more emotional support. Scores 1 SD or more below the mean (T ≤ 40) suggest low levels of support,and scores 1 SD or more above the mean (T ≥ 60) suggest high levels of support."
NIH Toolbox Instrumental Support Survey: Unadjusted Scale Score,Emotion,"Social Relationships (Social Support, Companionship, Social Distress, Positive Social Development)",InstruSupp_Unadj,"This self-report measure assesses instrumental support (refers to the perception that people in one’s social network are available to provide material or functional aid in completing daily tasks, if needed) for ages 18-85, using an 8-item fixed-length form. The Unadjusted Scale Score has a Mean of 50, SD of 10. higher scores are indicative of more reported support. Scores 1 SD or more below the mean (T ≤ 40) suggest low levels of instrumental supportand scores 1 SD or more above the mean (T ≥ 60) suggest high levels of instrumental support."
